Date,edinetCode,code,Close,Volume,MarketCap,EV,PER,PBR,EPS_calc,BPS,NetAssets,NetIncome,OperatingIncome
2024-04-10,E02362,6861,63999.6171875,600000,,,328.6919890478147,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-11,E02362,6861,63694.25,479000,,,327.12367110061115,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-12,E02362,6861,63930.66015625,458700,,,328.33783655821475,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-15,E02362,6861,63733.65234375,395200,,,327.3260353538596,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-16,E02362,6861,64226.1796875,633400,,,329.85557848852136,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-17,E02362,6861,63280.51953125,442100,,,324.9988163486724,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-18,E02362,6861,63999.6171875,361700,,,328.6919890478147,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-19,E02362,6861,61665.015625,808700,,,316.7018418417133,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-22,E02362,6861,62768.2890625,451700,,,322.3680810564429,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-23,E02362,6861,63408.578125,400400,,,325.65650518720145,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-24,E02362,6861,64935.4375,562900,,,333.49821529454056,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-25,E02362,6861,63615.44140625,554300,,,326.7189225322274,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-26,E02362,6861,68570.3125,1377000,,,352.1663627959529,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-30,E02362,6861,69250.015625,908100,,,355.65721136562064,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-01,E02362,6861,68186.140625,522300,,,350.19331634225256,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-02,E02362,6861,68324.0546875,460200,,,350.9016213214524,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-07,E02362,6861,70225.21875,729200,,,360.66570155616046,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-08,E02362,6861,69171.2109375,512300,,,355.2524828591238,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-09,E02362,6861,68609.71875,340400,,,352.3687471110883,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-10,E02362,6861,69112.1015625,374400,,,354.94890638642084,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-13,E02362,6861,69801.65625,356400,,,358.49035103487233,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-14,E02362,6861,69998.65625,466500,,,359.5021121154537,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-15,E02362,6861,69496.2734375,353300,,,356.9219528401212,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-16,E02362,6861,72067.2890625,772700,,,370.1262855657131,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-17,E02362,6861,71791.484375,677100,,,368.7097959786349,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-20,E02362,6861,72018.0390625,490000,,,369.87334529556773,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-21,E02362,6861,70875.3671875,334200,,,364.00476188947664,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-22,E02362,6861,70835.96875,314600,,,363.8024176981151,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-23,E02362,6861,71801.328125,415700,,,368.76035193364487,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-24,E02362,6861,70698.0546875,408800,,,363.0941127189153,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-27,E02362,6861,70510.8984375,263800,,,362.13290759334393,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-28,E02362,6861,69328.8203125,310300,,,356.0619398721175,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-29,E02362,6861,68964.34375,277800,,,354.19004545221094,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-30,E02362,6861,68855.984375,368700,,,353.6335287093626,,194.71,,236698000000.0,34621000000,20284000000.0
2024-05-31,E02362,6861,69634.1875,769600,,,357.630257819321,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-03,E02362,6861,70422.2421875,387900,,,361.67758300806327,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-04,E02362,6861,70540.4453125,370800,,,362.28465570592164,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-05,E02362,6861,68984.046875,414400,,,354.29123760977865,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-06,E02362,6861,68718.078125,306900,,,352.9252638539366,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-07,E02362,6861,68599.8671875,288800,,,352.31815103230446,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-10,E02362,6861,69565.234375,287900,,,357.276125391608,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-11,E02362,6861,69387.921875,266600,,,356.36547622104666,,194.71,,236698000000.0,34621000000,20284000000.0
2024-06-12,E02362,6861,68215.6953125,479100,,,350.34510457860404,,194.71,,236698000000.0,34621000000,20284000000.0
